EM_ID,UCMC,Date,Year,Month,Day,Week,Site,lat,lon,ele_m,Plot,Plant,Plant species name,Plant common name,Plant family,Insect species name,Insect notes,notes
EM01680,,8/8/2017,2017,8,8,12,Elk M.,40.030126,-105.540468,2900,1,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Bombus mixtus,worker,
EM02528,,8/4/2021,2021,8,4,,Elk M.,40.030126,-105.540468,2900,1,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Bombus mixtus,female,
EM01423,,7/29/2016,2016,7,29,9,Elk M.,40.030126,-105.540468,2900,2,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Bombus bifarius,female,
EM01989,,8/10/2018,2018,8,10,12,Elk M.,40.030126,-105.540468,2900,2,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Bombus sylvicola,male,
EM02605,,8/28/2021,2021,8,28,,Elk M.,40.030126,-105.540468,2900,2,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Bombus bifarius,female,
EM01908,,7/11/2018,2018,7,11,8,Elk M.,40.030126,-105.540468,2900,3,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Bombus flavifrons,,
EM01912,,7/11/2018,2018,7,11,8,Elk M.,40.030126,-105.540468,2900,3,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Bombus bifarius,worker,
,,7/11/2018,2018,7,11,8,Elk M.,40.030126,-105.540468,2900,3,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Bombus bifarius,worker,
EM01969,,8/4/2018,2018,8,4,11,Elk M.,40.030126,-105.540468,2900,4,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Bombus insularis,male,
EM01990,,8/10/2018,2018,8,10,12,Elk M.,40.030126,-105.540468,2900,4,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Bombus bifarius,worker,
EM01990,,8/10/2018,2018,8,10,12,Elk M.,40.030126,-105.540468,2900,4,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Bombus bifarius,worker,
EM02249,,8/8/2020,2020,8,8,,Elk M.,40.030126,-105.540468,2900,4,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Bombus bifarius,female,
EM01991,,8/10/2018,2018,8,10,12,Elk M.,40.030126,-105.540468,2900,5,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Bombus bifarius,worker,
EM01442,,8/11/2016,2016,8,11,11,Elk M.,40.030126,-105.540468,2900,1,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus flavifrons,,
EM01671,,7/31/2017,2017,7,31,11,Elk M.,40.030126,-105.540468,2900,1,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus mixtus,worker,
EM02241,,8/1/2020,2020,8,1,,Elk M.,40.030126,-105.540468,2900,1,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus bifarius,female,
,,8/6/2019,2019,8,6,9,Elk M.,40.030126,-105.540468,2900,1,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus mixtus,,
EM01946,,7/25/2018,2018,7,25,10,Elk M.,40.030126,-105.540468,2900,2,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus bifarius,worker,
EM02471,,7/22/2021,2021,7,22,,Elk M.,40.030126,-105.540468,2900,2,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus flavifrons,queen,
EM02493,,7/28/2021,2021,7,28,,Elk M.,40.030126,-105.540468,2900,2,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus bifarius,female,
EM02538,,8/12/2021,2021,8,12,,Elk M.,40.030126,-105.540468,2900,2,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus bifarius,female,
,,8/26/2019,2019,8,26,12,Elk M.,40.030126,-105.540468,2900,2,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus bifarius,,
EM01368,,7/8/2016,2016,7,8,6,Elk M.,40.030126,-105.540468,2900,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus flavifrons,,
EM01427,,7/29/2016,2016,7,29,9,Elk M.,40.030126,-105.540468,2900,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus rufocinctus,,
EM01884,,7/6/2018,2018,7,6,7,Elk M.,40.030126,-105.540468,2900,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus rufocinctus,,
EM01958,,7/25/2018,2018,7,25,10,Elk M.,40.030126,-105.540468,2900,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus bifarius,worker,
EM02476,,7/22/2021,2021,7,22,,Elk M.,40.030126,-105.540468,2900,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus mixtus,female,
,,8/6/2019,2019,8,6,9,Elk M.,40.030126,-105.540468,2900,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus bifarius,male,
EM01463b,,8/26/2016,2016,8,26,13,Elk M.,40.030126,-105.540468,2900,4,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus sylvicola,,
EM02494,,7/28/2021,2021,7,28,,Elk M.,40.030126,-105.540468,2900,4,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus bifarius,female,
,,8/6/2019,2019,8,6,9,Elk M.,40.030126,-105.540468,2900,4,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus flavifrons,,
,,8/6/2019,2019,8,6,9,Elk M.,40.030126,-105.540468,2900,5,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus flavifrons,,
,,8/11/2019,2019,8,11,10,Elk M.,40.030126,-105.540468,2900,5,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus bifarius,,
,,8/8/2020,2020,8,8,,Elk M.,40.030126,-105.540468,2900,5,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus bifarius,same as EM02250,
EM01387,,7/15/2016,2016,7,15,7,Elk M.,40.030126,-105.540468,2900,6,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus rufocinctus,,
EM01700,,8/14/2017,2017,8,14,13,Elk M.,40.030126,-105.540468,2900,6,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus mixtus,worker,
EM01950,,7/25/2018,2018,7,25,10,Elk M.,40.030126,-105.540468,2900,6,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Bombus rufocinctus,,
EM01982,,8/10/2018,2018,8,10,12,Elk M.,40.030126,-105.540468,2900,5,CASMIN,Castilleja miniata,Giant Red Indian Paintbrush,Orobanchaceae,Bombus (fervidus) californicus,,
EM01421,,7/29/2016,2016,7,29,9,Elk M.,40.030126,-105.540468,2900,2,CHAANG,Chamerion angustifolium,Fireweed,Onagraceae,Bombus bifarius,male,
EM01970,,8/4/2018,2018,8,4,11,Elk M.,40.030126,-105.540468,2900,2,CHAANG,Chamerion angustifolium,Fireweed,Onagraceae,Bombus bifarius,worker,
EM02245,,8/8/2020,2020,8,8,,Elk M.,40.030126,-105.540468,2900,2,CHAANG,Chamerion angustifolium,Fireweed,Onagraceae,Bombus flavifrons,male,
EM02547,,8/12/2021,2021,8,12,,Elk M.,40.030126,-105.540468,2900,2,CHAANG,Chamerion angustifolium,Fireweed,Onagraceae,Bombus flavifrons,male,
,,8/6/2019,2019,8,6,9,Elk M.,40.030126,-105.540468,2900,2,CHAANG,Chamerion angustifolium,Fireweed,Onagraceae,Bombus flavifrons,,
EM02499,,7/28/2021,2021,7,28,,Elk M.,40.030126,-105.540468,2900,4,CHAANG,Chamerion angustifolium,Fireweed,Onagraceae,Bombus flavifrons,female,
EM02539,,8/12/2021,2021,8,12,,Elk M.,40.030126,-105.540468,2900,4,CHAANG,Chamerion angustifolium,Fireweed,Onagraceae,Bombus flavifrons,female,
EM01936,,7/20/2018,2018,7,20,9,Elk M.,40.030126,-105.540468,2900,5,CHAANG,Chamerion angustifolium,Fireweed,Onagraceae,Bombus flavifrons,,
,,8/6/2019,2019,8,6,9,Elk M.,40.030126,-105.540468,2900,5,CHAANG,Chamerion angustifolium,Fireweed,Onagraceae,Bombus flavifrons,,
EM01406,,7/21/2016,2016,7,21,8,Elk M.,40.030126,-105.540468,2900,1,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus flavifrons,,Cirsium centaureae
EM02597,,8/28/2021,2021,8,28,,Elk M.,40.030126,-105.540468,2900,1,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus flavifrons,female,Cirsium centaureae
EM01973,,8/4/2018,2018,8,4,11,Elk M.,40.030126,-105.540468,2900,2,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus bifarius,worker,Cirsium centaureae
EM01993,,8/10/2018,2018,8,10,12,Elk M.,40.030126,-105.540468,2900,2,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus bifarius,worker,Cirsium centaureae
,,8/16/2020,2020,8,16,12,Elk M.,40.030126,-105.540468,2900,2,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus appositus,,Cirsium centaureae
EM01927,,7/20/2018,2018,7,20,9,Elk M.,40.030126,-105.540468,2900,4,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus flavifrons,,Cirsium centaureae
EM02162,,8/6/2019,2019,8,6,9,Elk M.,40.030126,-105.540468,2900,4,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus flavifrons,male,Cirsium centaureae
EM02498,,7/28/2021,2021,7,28,,Elk M.,40.030126,-105.540468,2900,4,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus flavifrons,female,Cirsium centaureae
EM02527,,8/4/2021,2021,8,4,,Elk M.,40.030126,-105.540468,2900,4,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus flavifrons,male,Cirsium centaureae
EM02555,,8/12/2021,2021,8,12,,Elk M.,40.030126,-105.540468,2900,4,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus flavifrons,queen,Cirsium centaureae
EM01637,,7/17/2017,2017,7,17,9,Elk M.,40.030126,-105.540468,2900,5,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus flavifrons,female,Cirsium centaureae
EM01679,,7/31/2017,2017,7,31,11,Elk M.,40.030126,-105.540468,2900,5,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus flavifrons,worker,Cirsium centaureae
EM02228,,7/26/2020,2020,7,26,,Elk M.,40.030126,-105.540468,2900,5,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus flavifrons,male,Cirsium centaureae
EM01661,,7/31/2017,2017,7,31,11,Elk M.,40.030126,-105.540468,2900,6,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus flavifrons,worker,Cirsium centaureae
EM01928,,7/20/2018,2018,7,20,9,Elk M.,40.030126,-105.540468,2900,6,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus flavifrons,,Cirsium centaureae
EM01975,,8/4/2018,2018,8,4,11,Elk M.,40.030126,-105.540468,2900,6,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus flavifrons,male,Cirsium centaureae
EM02231,,7/26/2020,2020,7,26,,Elk M.,40.030126,-105.540468,2900,6,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus flavifrons,female,Cirsium centaureae
EM02240,,8/1/2020,2020,8,1,,Elk M.,40.030126,-105.540468,2900,6,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus flavifrons,female,Cirsium centaureae
EM02473,,7/22/2021,2021,7,22,,Elk M.,40.030126,-105.540468,2900,6,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus flavifrons,female,Cirsium centaureae
EM02475,,7/22/2021,2021,7,22,,Elk M.,40.030126,-105.540468,2900,6,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus flavifrons,female,Cirsium centaureae
EM02529,,8/4/2021,2021,8,4,,Elk M.,40.030126,-105.540468,2900,6,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus flavifrons,female,Cirsium centaureae
EM02562,,8/12/2021,2021,8,12,,Elk M.,40.030126,-105.540468,2900,6,CIRCLA,Cirsium clavatum,Fringed Thistle,Asteraceae,Bombus appositus,female,Cirsium centaureae
EM01321,,6/18/2016,2016,6,18,3,Elk M.,40.030126,-105.540468,2900,2,DODPUL,Dodecatheon pulchellum,Darkthroat Shooting Star,Primulaceae,Bombus flavifrons,,
EM01955,,7/25/2018,2018,7,25,10,Elk M.,40.030126,-105.540468,2900,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Bombus mixtus,,
EM02010,,8/24/2018,2018,8,24,14,Elk M.,40.030126,-105.540468,2900,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Bombus bifarius,worker,
EM02140,,9/2/2019,2019,9,2,13,Elk M.,40.030126,-105.540468,2900,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Bombus mixtus,female,
EM02146,,9/2/2019,2019,9,2,13,Elk M.,40.030126,-105.540468,2900,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Bombus (fervidus) californicus,female,
EM02614,,9/10/2021,2021,9,10,,Elk M.,40.030126,-105.540468,2900,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Bombus flavifrons,female,
EM02615,,9/10/2021,2021,9,10,,Elk M.,40.030126,-105.540468,2900,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Bombus bifarius,male,
EM02616,,9/10/2021,2021,9,10,,Elk M.,40.030126,-105.540468,2900,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Bombus fernaldae,,
EM02620,,9/10/2021,2021,9,10,,Elk M.,40.030126,-105.540468,2900,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Bombus bifarius,female,
EM02621,,9/10/2021,2021,9,10,,Elk M.,40.030126,-105.540468,2900,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Bombus flavifrons,male,
EM02633,,9/19/2021,2021,9,19,,Elk M.,40.030126,-105.540468,2900,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Bombus bifarius,female,
EM02635,,9/19/2021,2021,9,19,,Elk M.,40.030126,-105.540468,2900,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Bombus bifarius,female,
EM02637,,9/19/2021,2021,9,19,,Elk M.,40.030126,-105.540468,2900,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Bombus bifarius,female,
EM02638,,9/19/2021,2021,9,19,,Elk M.,40.030126,-105.540468,2900,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Bombus bifarius,female,
,,9/2/2019,2019,9,2,13,Elk M.,40.030126,-105.540468,2900,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Bombus appositus,,
,,9/2/2019,2019,9,2,13,Elk M.,40.030126,-105.540468,2900,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Bombus flavifrons,,
,,9/4/2021,2021,9,4,,Elk M.,40.030126,-105.540468,2900,1,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Bombus occidentalis,released,
EM02611,,9/4/2021,2021,9,4,,Elk M.,40.030126,-105.540468,2900,4,ERIEXI,Erigeron eximius,Splendid Daisy,Asteraceae,Bombus bifarius,female,
EM01970,,8/4/2018,2018,8,4,11,Elk M.,40.030126,-105.540468,2900,2,ERISPE,Erigeron speciosus,Aspen Daisy,Asteraceae,Bombus bifarius,worker,
EM01976,,8/4/2018,2018,8,4,11,Elk M.,40.030126,-105.540468,2900,2,ERISPE,Erigeron speciosus,Aspen Daisy,Asteraceae,Bombus bifarius,worker,
,,8/1/2020,2020,8,1,10,Elk M.,40.030126,-105.540468,2900,3,GENACU,Gentianella acuta,Little Gentian,Gentianaceae,Bombus appositus,,
EM01868,,7/6/2018,2018,7,6,7,Elk M.,40.030126,-105.540468,2900,2,GERRIC,Geranium richardsonii,Richardson Geranium,Geraniaceae,Bombus mixtus,,
EM01694,,8/14/2017,2017,8,14,13,Elk M.,40.030126,-105.540468,2900,2,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus flavifrons,male,
EM01726,,8/22/2017,2017,8,22,14,Elk M.,40.030126,-105.540468,2900,2,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,worker,
EM02017,,8/24/2018,2018,8,24,14,Elk M.,40.030126,-105.540468,2900,2,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,worker,
EM02259,,8/30/2020,2020,8,30,,Elk M.,40.030126,-105.540468,2900,2,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus insularis,male,
EM02325,,8/22/2020,2020,8,22,,Elk M.,40.030126,-105.540468,2900,2,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus flavifrons,male,
EM02331,,9/5/2020,2020,9,5,,Elk M.,40.030126,-105.540468,2900,2,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,female,
EM02573,,8/19/2021,2021,8,19,,Elk M.,40.030126,-105.540468,2900,2,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,female,
EM02594,,8/28/2021,2021,8,28,,Elk M.,40.030126,-105.540468,2900,2,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus flavifrons,female,
EM02617,,9/10/2021,2021,9,10,,Elk M.,40.030126,-105.540468,2900,2,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,bald see what VA says,
EM02619,,9/10/2021,2021,9,10,,Elk M.,40.030126,-105.540468,2900,2,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,female,
EM01136,UCMC 0234886,8/20/2015,2015,8,20,11,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus mixtus,male,
EM01463a,,8/26/2016,2016,8,26,13,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus sylvicola,,
EM01489,,9/9/2016,2016,9,9,15,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus (fervidus) californicus,female,
EM01647,,7/25/2017,2017,7,25,10,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus mixtus,male,
EM01653,,7/31/2017,2017,7,31,11,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus mixtus,worker,
EM01677,,7/31/2017,2017,7,31,11,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus mixtus,worker,
EM01681,,8/8/2017,2017,8,8,12,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,worker,
EM01689,,8/14/2017,2017,8,14,13,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus mixtus,worker,
EM01705,,8/14/2017,2017,8,14,13,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus mixtus,worker,
EM01718,,8/22/2017,2017,8,22,14,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,male,
EM01731,,8/30/2017,2017,8,30,15,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus flavifrons,worker,
EM01735,,8/30/2017,2017,8,30,15,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus mixtus,worker,
EM01736,,8/30/2017,2017,8,30,15,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,worker,
EM01741,,8/30/2017,2017,8,30,15,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus flavifrons,worker,
EM01960,,7/25/2018,2018,7,25,10,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,worker,
EM01971,,8/4/2018,2018,8,4,11,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,worker,
EM01987,,8/10/2018,2018,8,10,12,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,worker,
EM01992,,8/10/2018,2018,8,10,12,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,worker,
EM01992,,8/10/2018,2018,8,10,12,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,worker,
EM01992,,8/10/2018,2018,8,10,12,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,worker,
EM01992,,8/10/2018,2018,8,10,12,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,worker,
EM01994,,8/10/2018,2018,8,10,12,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,worker,
EM02000,,8/16/2018,2018,8,16,13,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,worker,
EM02001,,8/16/2018,2018,8,16,13,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,worker,
EM02004,,8/16/2018,2018,8,16,13,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,worker,
EM02006,,8/16/2018,2018,8,16,13,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus flavifrons,,
EM02007,,8/16/2018,2018,8,16,13,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus rufocinctus,,
EM02014,,8/24/2018,2018,8,24,14,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,worker,
EM02019,,8/30/2018,2018,8,30,15,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus rufocinctus,,
EM02020,,8/30/2018,2018,8,30,15,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus rufocinctus,male,
EM02023,,8/30/2018,2018,8,30,15,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,worker,
EM02102,,9/2/2019,2019,9,2,13,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus melanopygus,male,
EM02226,,7/26/2020,2020,7,26,,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,female,
EM02265,,7/18/2020,2020,7,18,,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,female,
EM02311,,8/16/2020,2020,8,16,,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus fernaldae,,
EM02319,,8/16/2020,2020,8,16,,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,male,
EM02509,,7/28/2021,2021,7,28,,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus melanopygus,female,
EM02510,,7/28/2021,2021,7,28,,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus flavifrons,female,
EM02564,,8/12/2021,2021,8,12,,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,female,
EM02565,,8/12/2021,2021,8,12,,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus melanopygus,female,
EM02566,,8/12/2021,2021,8,12,,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,female,
EM02570,,8/19/2021,2021,8,19,,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,female,
EM02588,,8/28/2021,2021,8,28,,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus melanopygus,female,
EM02591,,8/28/2021,2021,8,28,,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,female,
EM02603,,8/28/2021,2021,8,28,,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,female,
EM02604,,8/28/2021,2021,8,28,,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,female,
EM02608,,9/4/2021,2021,9,4,,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus flavifrons,female,
EM02622,,9/10/2021,2021,9,10,,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,male,
,,7/20/2018,2018,7,20,9,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,worker,
,,8/24/2018,2018,8,24,14,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus bifarius,worker,
,,8/11/2019,2019,8,11,10,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus mixtus,,
,,8/20/2019,2019,8,20,11,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus mixtus,,
,,8/26/2019,2019,8,26,12,Elk M.,40.030126,-105.540468,2900,3,HETVIL,Heterotheca villosa,Hairy False Goldenaster,Asteraceae,Bombus flavifrons,,
